0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197;198;199;200;201;202;%dCFAThpig;StaDCP;AppDCP;DC(S+S);DCNFEh;CP;SumAA;SumFA;%FAinCFATfraction
CODE;NAAM;CFATchoise;STARCHamew;STARCHamC;CF_DI;SUGARe/SUGAR;IP/P;LYS;MET;CYS;THR;TRP;ILE;ARG;PHE;HIS;LEU;TYR;VAL;ALA;ASP;GLU;GLY;PRO;SER;% Fatty Acids;<=C10;C12:0;C14:0;C16:0;C16:1;C18:0;C18:1;C18:2;C18:3;>=C20;FN_rum;%dCPrum;%dCFATrum;%dCFIBRErum;%dNFErum;%dOMrum;CDOMH_C;CDOMH_CFIBRE;CDOMH_ACH;CDOMH_CP;CDOMH_SUG;CDOMH_DAY;CDOMH_NFE;CDOMH_DM;%dOMivrum;CDCPrum_CP;CDCPrum_CPE;CDCPrum_CFIBRE;CDCPrum_ASH;CDCPrum_C;CDCPrum_DAY;CDCPrum_minD;CDCPrum_maxD;CDFATrum_CFAT;CDFATrum_CFIBRE;CDFATrum_ASH;CDFATrum_C;CDCFIBRErum_CFIBRE;CDCFIBRErum_CFAT;CDCFIBRErum_ASH;CDCFIBRErum_C;CDNFErum_NFE;CDNFErum_CFIBRE;CDNFErum_ASH;DEGRform;pSCP1;pWCP1;pUCP1;kdCP1;pWSTARCH1;kdSTARCH1;pW-NDF;pUNDF1;kdNDF1;pWRNSP1;pURNSP1;kdRNSP1;pDVBE1;%dASH;M%dASH;DAY;SW_form;SW_const;VW_fact;VW_const;FN_pig;%dCPpig;%dCFATpig;%dCFIBREpig;%dNFEpig;%dOMpig;%dPpig;%idSTARCH;CDCPC;CDCPCP;CDCPCFIBRE;CDCPNSP;CDCFAT_C;CDCFAT_CFAT;CDCFAT_CFIBRE;CDCFAT_NSP;CDNSP_C;CDNSP_NSP;CDNSP_CFIBRE;CDNSP_CFIBRE_NSP;CAL_%idAA;%idLYSpig;%idMETpig;%idCYSpig;%idTHRpig;%idTRPpig;sta%idLYSpig;sta%idMETpig;sta%idCYSpig;sta%idTHRpig;sta%idTRPpig;sta%idILEpig;sta%idARGpig;sta%idPHEpig;sta%idHISpig;sta%idLEUpig;sta%idTYRpig;sta%idVALpig;sta%idALApig;sta%idASPpig;sta%idGLUpig;sta%idGLYpig;sta%idPROpig;sta%idSERpig;FN_broiler;%dCPbroiler;%dCFAThbroiler;%dNFEbroiler;DMFbroiler;ASHFbroiler;CPFbroiler;CFATFbroiler;CFIBREFbroiler;NFEFbroiler;STARCHFbroiler;SUGARFbroiler;FN_poultry;%dCPpoultry;%dCFATpoultry;%dNFEpoultry;DMFpoultry;ASHFpoultry;CPFpoultry;CFATFpoultry;CFIBREFpoultry;NFEFpoultry;STARCHFpoultry;SUGARFpoultry;%dPpoultry;DMFlayer;ASHFlayer;CPFlayer;CFATFlayer;CFATeFlayer;CFIBREFlayer;NFEFlayer;STARCHFlayer;SUGARFlayer;%dCFATlayer;BVAZpoultry;%dLYSpoultry;%dMETpoultry;%dCYSpoultry;%dTHRpoultry;%dTRPpoultry;%dILEpoultry;%dARGpoultry;%dPHEpoultry;%dHISpoultry;%dLEUpoultry;%dTYRpoultry;%dVALpoultry;%dALApoultry;%dASPpoultry;%dGLUpoultry;%dGLYpoultry;%dPROpoultry;%dSERpoultry;FN_rabbit;%dCPrabbit;%dCFATrabbit;%dCFIBRErabbit;%dNFErabbit;FN_horse;%dCPhorse;%dOMhorse;%dOMhorse_C;%dOMhorse_OMrum;%dOMhorse_CFIBRE;%dPfish;DCNSPh;%dCFAThpig;StaDCP;AppDCP;DC(S+S);DCNFEh;CP;SumAA;SumFA;%FAinCFATfraction
;;C196;C198;C199;C136;C028;C026;C060;C061;C062;C063;C064;C065;C067;C069;C068;C109;C110;C066;C111;C112;C113;C114;C115;C116;C090;C127;C091;C092;C093;C128;C094;C095;C096;C097;C098;C006;C001;C002;C003;C004;C140;C224;C220;C221;C218;C222;C223;C219;C217;C225;C175;C191;C176;C177;C178;C214;C215;C216;C179;C180;C181;C182;C183;C184;C185;C186;C187;C188;C189;C200;C201;C202;C203;C204;C205;C206;C207;C208;C209;C210;C211;C212;C213;C014;C015;C153;C172;C173;C192;C197;C024;C020;C021;C022;C023;C139;C027;C029;C141;C142;C143;C144;C145;C146;C147;C148;C149;C150;C151;C152;C174;C075;C076;C077;C078;C079;C154;C155;C156;C157;C158;C159;C160;C161;C162;C163;C164;C165;C166;C167;C168;C169;C170;C171;C137;C132;C133;C134;C030;C031;C032;C033;C034;C035;C036;C037;C138;C129;C130;C131;C040;C041;C042;C043;C044;C045;C046;C047;C048;C050;C051;C052;C053;C054;C055;C056;C057;C058;C059;C190;BX272;BX273;BX274;BX275;BX276;BX277;BX278;BX279;BX280;BX281;BX282;BX283;BX284;BX285;BX286;BX287;BX288;BX289;C105;C100;C101;C102;C103;C108;C107;C106;C195;C193;C194;C900;BX290;BX263;BX264;BX265;BX266;BX267;BX268;BX269;BX270;BX271
;;-;-;-;-;%;%;g/16gN;g/16gN;g/16gN;g/16gN;g/16gN;g/16gN;g/16gN;g/16gN;g/16gN;g/16gN;g/16gN;g/16gN;g/16gN;g/16gN;g/16gN;g/16gN;g/16gN;g/16gN;%;%;%;%;%;%;%;%;%;%;%;-;%;%;%;%;%;%;%;%;%;%;%;%;%;%;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;%;%;%;%/hour;%;%/hour;%;%;%/hour;%;%;%/hour;%;%;g/kgDM;days;-;-;-;-;-;%;%;%;%;%;%;%;-;-;-;-;-;-;-;-;-;-;-;-;-;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;-;%;%;%;-;-;-;-;-;-;-;-;-;%;%;%;-;-;-;-;-;-;-;-;%;%;%;%;%;%;%;%;%;%;%;-;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;-;%;%;%;%;-;%;%;-;-;-;%;%;%;%;%;%;%;%;g/16gN;%;%
8015.0003;Fish meal, treated, CP 650 - 690 g_kg;;;;;;;7.6;2.8;0.9;4.2;1.1;4.2;5.9;3.9;2.6;7.3;3.1;4.9;6.3;9.3;13.0;6.5;4.4;4.0;;0.1;;7.0;16.0;7.0;2.0;15.0;1.0;1.0;45.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.0;;;87.0;88.0;;;;;;;;;;;;;;;;;;;;;88.0;88.0;73.0;86.0;86.0;87.0;92.0;86.0;86.0;88.0;82.0;86.0;86.0;81.0;87.0;86.0;85.0;85.0;;87.0;87.0;;;;;;;;;;;88.0;84.0;88.0;;;;;;;;;74.0;;;;;;;;;;84.0;;85.0;83.0;71.0;81.0;79.0;83.0;85.0;82.0;80.0;85.0;82.0;83.0;83.0;74.0;82.0;77.0;82.0;78.0;;90.0;90.0;;90.0;;;;;;;;;91.0;77.0;76.0;;;78.0;92.0;94.1;80.0
5055.000;Whole crop silage (cereal);;;;;;;2.6;1.0;0.7;2.9;0.6;3.1;1.5;3.4;1.2;5.1;;4.2;6.9;4.9;9.9;4.1;4.5;2.8;;;;;;;;;;;;;63.0;;;;68.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50.0;64.0;;;;;;;;;;;;59.5;;
8004.0052;Processed animal protein, pig origin, ASH 160 - 270 g_kg;;;;;;;5.6;1.5;0.7;3.4;0.8;3.3;6.6;3.5;2.3;6.5;2.8;4.6;7.0;7.7;12.3;11.1;7.1;3.9;;0.1;0.1;1.3;23.7;2.4;13.0;43.7;10.9;0.7;1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;79.0;84.0;;;;;;;;;;;77.0;84.0;20.0;;;;;;;;;70.0;;;;;;;;;;84.0;;80.0;81.0;53.0;74.0;72.0;77.0;85.0;82.0;80.0;79.0;79.0;75.0;76.0;64.0;82.0;72.0;78.0;74.0;;;;;;;;;;;;;;;;;;;;90.5;97.1;89.0
4001.208;Potato fruit-juice concentrated;;;;;;;2.9;0.9;1.2;1.6;0.4;1.3;3.7;1.8;0.8;1.9;1.5;2.4;3.6;26.7;16.3;1.7;2.8;2.0;;;;;;;;;;;;;91.0;;;95.0;93.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;73.5;;
5008.6023;Maize silage, DM 380 - 420 g_kg;;;;;;;2.4;1.5;1.4;3.2;0.4;3.3;2.0;3.8;1.7;8.8;2.2;4.5;7.7;6.1;12.2;3.9;6.5;3.8;;;;;;;;;;;;;42.0;;;;75.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68.0;74.0;;;;;;;;;;;;75.5;;
1002.000;Maize;;;;;;;2.9;2.1;2.2;3.6;0.7;3.4;4.7;4.8;3.0;12.1;3.7;4.8;7.5;6.7;18.1;3.9;8.9;4.8;;;0.2;0.2;12.0;0.2;2.0;28.0;55.0;1.0;1.0;;59.0;90.0;51.0;94.0;89.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;72.0;;51.0;94.0;90.0;;100.0;;;;;;;;;;;;;;;;;;;76.0;88.0;83.0;78.0;79.0;83.0;90.0;86.0;85.0;88.0;84.0;82.0;85.0;81.0;86.0;81.0;84.0;84.0;;85.0;88.0;;;;;;;;;;;83.0;84.0;91.0;;;;;;;;;30.0;;;;;;;;;;84.0;;90.0;94.0;86.0;83.0;85.0;93.0;93.0;93.0;90.0;94.0;88.0;90.0;93.0;89.0;95.0;86.0;91.0;91.0;;62.0;87.0;40.0;89.0;;73.0;86.0;;;;;57.0;83.0;27.0;20.0;99.0;85.0;84.0;97.9;99.6;90.0
4015.240;Chicory press pulp, fresh and ensiled;;;;;;;7.2;1.8;1.0;4.5;;4.3;5.8;4.1;2.4;7.2;;5.1;4.8;8.5;9.1;4.4;;4.4;;;;;;;;;;;;;53.0;69.0;82.0;90.0;84.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;74.6;;
