0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197;198;199;200;201;202;203;204;205;206;207;208;209;210;211;212;213;214;215;216;217;218;219;220;221;222;223;224;225;226;227;228;229;230;231;232;233;234;235;236;237;238;239
Ing_code;Ing_desc;C001;C002;C003;C004;C005;C006;C007;C008;C009;C010;C011;C012;C013;C014;C015;C016;C018;C019;C020;C021;C022;C023;C024;C025;C026;C027;C028;C029;C031;C032;C033;C034;C035;C036;C037;C038;C039;C040;C041;C042;C043;C044;C045;C046;C047;C048;C049;C050;C051;C052;C053;C054;C055;C056;C057;C058;C059;C060;C061;C062;C063;C064;C065;C066;C067;C068;C069;C070;C071;C072;C073;C074;C075;C076;C077;C078;C079;C080;C081;C082;C083;C084;C085;C086;C087;C088;C089;C090;C092;C095;C096;C097;C098;C099;C100;C101;C102;C103;C104;C105;C106;C107;C108;C109;C110;C111;C112;C113;C114;C115;C116;C117;C118;C119;C120;C121;C122;C123;C124;C125;C126;C127;C128;C129;C130;C131;C132;C133;C134;C139;C140;C141;C142;C143;C144;C145;C146;C147;C148;C149;C150;C151;C152;C153;C154;C155;C156;C157;C158;C159;C160;C161;C162;C163;C164;C165;C166;C167;C168;C169;C170;C171;C172;A146;A145;C220;C221;C222;C223;C224;C225;C226;C227;C228;C229;C230;C231;C232;C233;C234;C235;C236;C237;C238;C239;C240;C241;C242;C243;C244;C245;C246;C247;C250;C251;C252;C253;C254;C255;C256;C257;C258;C259;C260;C262;C263;C264;C265;C266;C267;C269;C270;C271;C272;C273;C274;C275;C276;C277;BX594;BX595;BX596;BX597;BX598;BX600;BX601;BX602;BX604;BX605;BX606;BX607;BX608;BX609;BX610;BX611;BX612;BX613;BX614
;;DM;ASH;CP;CFAT;CF;STAew;SUG;NDF;ADF;ADL;Ca;P;Mg;K;Na;Cl;Fe;Mn;Zn;Cu;Mo;J;Co;VEM;VEVI;FOMr;DVE;OEB;EW;NEv;DPs;OEslk;OElh;OEk;LYS;MET;CYS;M+C;THR;TRP;ILE;ARG;PHE;HIS;LEU;TYR;VAL;ALA;ASP;GLU;GLY;PRO;SER;DLYSp;DMETp;DCYSp;DM+Cp;DTHRp;DTRPp;DILEp;DARGp;DPHEp;DHISp;DLEUp;DTYRp;DVALp;DALAp;DASPp;DGLUp;DGLYp;DPROp;DSERp;apIDLYSs;apIDMETs;apIDCYSs;apIDM+Cs;apIDTHRs;apIDTRPs;<=C10;C12:0;C14:0;C16:0;C16:1;C18:0;C18:1;C18:2;C18:3;>=C20;OEpl;STAam;IP;Moisture;FP;DPp;NH3;EWpa;NEm;DCPh;GOS;LA;AC;ETH;PR;BU;NSP;DMref;NFE;Sum AA;DVLYS;DVMET;SW;apIDILEs;apIDARGs;apIDPHEs;apIDHISs;apIDLEUs;apIDTYRs;apIDVALs;apIDALAs;apIDASPs;apIDGLUs;apIDGLYs;apIDPROs;apIDSERs;DRUSTA;VW;CFATh;NFEh;STAtot;CPin;RNSP;S;S-a;S-o;FOMr2;OEB-2;NEvKC;OEslkKC;OEplKC;OElhKC;OEkKC;NEmKC;EB;CAB;stIDLYSs;stIDMETs;stIDCYSs;stIDM+Cs;stIDTHRs;stIDTRPs;stIDILEs;stIDARGs;stIDPHEs;stIDHISs;stIDLEUs;stIDTYRs;stIDVALs;stIDALAs;stIDASPs;stIDGLUs;stIDGLYs;stIDPROs;stIDSERs;%RUP;%DRUP;S;(W-S);11;8;6;200;kd0;MCPe;F;MCPn;MCPe;kpD;NSPh;CF_DI*SUG;DNSPh;GLYCEROL;DCNSPh;STAam-f;SUG-e;SUG-f;CF_DI;FCH;uCP;uCPi;uCPi-basal;uCP-4i-specific;StaDP;AppDP;DCP;DCFATh;D9STA+SUG);DCOM;DCOMw;DCPpi;DCpo;SLYSp;SMETp;SCYSp;SM+Cp;STHRp;STRPp;SILEp;SARGp;SPHEp;SHISp;SLEUp;STYRp;SVALp;SALAp;SASPp;SGLUp;SGLYp;SPROp;SSERp;Si;FOMr2/FOMr;DVME;DVBE;VEM2022;MErab;DCPho;DPpo;NE2015;EW2015;C:18:2;SumFA;CFAT(h);IP/P;SUGe/SUG;EB(meq/kg);CAD(meq/kg);Glycerol;Ensilingperiodmaizesilage
;;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;mg;mg;mg;mg;mg;mg;mg;/kg;/kg;g;g;g;/kg;MJ;g;MJ;MJ;MJ;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;MJ;g;g;g;g;g;%;/kg;MJ;g;g;g;g;g;g;g;g;g;g;g;g;g;/kg;g;g;g;g;g;g;g;g;g;g;g;g;g;g;/kg;g;g;g;g;g;g;g;g;g;g;kcal;kcal;kcal;kcal;kcal;kcal;%;%;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;g;g;-;g;g;-;-;-;g;-;g;g;g;-;-;-;-;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;-;g;g;g;%;%;-;-;g;-
4001.2022;Potato pulp, dried, CP 90 - 130 g_kg;880.0;69.0;96.0;4.0;151.0;319.0;12.0;230.0;;;2.6;1.3;0.8;25.1;0.8;1.8;696.0;37.0;35.0;6.0;;;;848.0;903.0;561.0;91.0;-58.0;0.76;6.72;;;;;6.0;1.2;1.7;;3.6;1.4;3.4;4.0;3.6;2.0;5.9;3.7;5.1;3.1;9.2;8.4;3.6;3.8;3.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;244.0;0.2;;;;;0.91;8.12;;;;;;;;456.0;;561.0;73.0;6.7;2.0;0.29;;;;;;;;;;;;;;19.3;0.29;;;;96.0;227.0;;;0.7;290.0;-25.0;1606.0;;;;;1942.0;;;;;;;;;;;;;;;;;;;;;;42.7;66.0;;;;;;;;;;;;;456.0;;;;;;;;0.97;;;;;;0.8;0.6;;;;;;;;;;;;;;;;;;;;;;;;;;;1.3;0.52;68.6;35.0;837.0;;53.0;;;;;;3.7;15.0;5.0;627.0;500.0;;
3009.437;Fat_oil, Rapeseed oil;995.0;;;995.0;;;;;;;;;;;;;;;;;;;;3514.0;4191.0;0.0;;0.0;3.85;33.89;;36.1;40.88;35.73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;1.9;1.9;48.4;3.9;19.4;542.3;;87.2;38.7;35.54;;;;;;;2.792;24.94;;;;;;;;0.0;;0.0;;;;0.32;;;;;;;;;;;;;;;0.29;995.0;0.0;;0.0;0.0;;;;0.0;0.0;8099.0;8629.0;8495.0;9770.0;8540.0;5959.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;0.96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;3708.0;;;;;;213.0;956.7;995.0;;;;;;
3001.4071;Palm kernel, solvent extracted, CF less than 190 g_kg;893.0;39.0;158.0;24.0;173.0;;12.0;546.0;346.0;86.0;2.8;6.0;2.8;7.1;0.1;1.7;770.0;294.0;43.0;24.0;0.5;0.1;0.1;871.0;909.0;410.0;120.0;-21.0;0.63;5.58;;;;8.61;4.8;3.0;2.4;;4.9;1.3;5.2;19.0;6.5;2.7;10.0;4.1;7.6;6.3;13.1;28.4;7.3;5.4;6.7;;;;;;;;;;;;;;;;;;;;;;;;;;1.1;7.3;2.3;1.4;0.0;0.5;2.5;;0.1;0.0;;2.0;3.9;;;;;;;;;;;;;;658.0;;498.0;139.0;5.1;2.7;0.44;;;;;;;;;;;;;;;0.3;25.0;497.0;;158.0;111.0;;;1.3;130.0;-4.0;1335.0;;;;2058.0;;;;;;;;;;;;;;;;;;;;;;;65.1;74.1;;;;;;;;;;;;;656.0;;;;;;;;0.96;;;;;;2.4;2.2;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3;0.32;41.0;95.9;852.0;;;;;;0.3;15.5;24.0;65.0;75.0;137.0;40.0;;
5010.6101;Grass meal, CP less than 140 g_kg;929.0;108.0;122.0;25.0;235.0;;122.0;460.0;272.0;;5.3;3.2;2.0;24.1;2.6;7.3;799.0;88.0;36.0;9.0;1.7;0.0;0.7;737.0;742.0;442.0;67.0;-17.0;0.58;5.08;;3.98;3.19;7.0;4.7;1.8;1.2;;5.0;1.7;4.6;5.0;5.3;2.3;8.4;3.3;6.4;7.8;11.1;12.2;5.6;5.6;4.9;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.3;2.0;0.3;0.3;0.4;;7.5;0.0;3.13;13.0;0.2;;;2.4;;0.609;5.44;;;;;;;;543.0;;439.0;97.0;3.9;1.5;0.38;;;;;;;;;;;;;;;0.34;25.0;439.0;;122.0;84.0;3.2;;0.7;182.0;-4.0;1214.0;952.0;748.0;762.0;1674.0;1299.0;;;;;;;;;;;;;;;;;;;;;;52.6;60.4;;;;;;;;;;;;;543.0;;;;;;;;0.96;;;;;;1.0;0.8;;;;;;;;;;;;;;;;;;;;;;;;;;;3.4;0.41;45.0;45.0;710.0;;72.0;;;;1.6;12.3;25.0;5.0;45.0;521.0;262.0;;
1010.1006;Wheat milling by-products, Wheat bran CF greater than 125 g_kg;874.0;61.0;142.0;29.0;126.0;126.0;47.0;496.0;159.0;43.0;1.0;12.3;5.2;15.1;0.2;0.7;158.0;161.0;111.0;11.0;1.2;0.1;0.1;683.0;676.0;449.0;45.0;41.0;0.55;4.84;;4.77;5.01;9.04;5.7;2.3;3.0;;4.7;2.0;4.5;9.5;5.7;3.8;8.8;4.1;6.7;6.7;10.1;27.5;7.2;9.2;6.2;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;3.8;0.2;0.2;3.0;;1.0;0.2;4.93;102.0;10.5;;;3.3;;0.66;5.9;;;;;;;;495.0;;517.0;127.0;3.0;1.1;0.28;;;;;;;;;;;;;;12.7;0.28;43.0;503.0;;142.0;0.0;;;1.3;198.0;39.0;1158.0;1140.0;1179.0;1197.0;2161.0;1410.0;;;;;;;;;;;;;;;;;;;;;;20.5;67.3;;;;;;;;;;;;;481.0;;;;;;;;0.96;;;;;;2.2;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1;0.44;42.7;25.6;654.0;;110.0;;;;11.5;20.0;28.9;87.0;70.0;379.0;293.0;;
1002.1021;Maize germs, STAew less than 200 g_kg;970.0;15.0;137.0;450.0;73.0;131.0;;;;;0.1;4.0;1.0;4.1;0.0;0.4;46.0;7.0;26.0;1.0;;;;;;;;;2.14;18.86;;19.79;;;6.7;2.6;2.7;;5.2;1.4;4.3;9.6;5.7;4.1;10.9;4.5;6.9;9.0;10.4;18.9;7.1;8.6;6.3;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;48.6;0.0;8.1;113.4;;4.0;4.0;;122.0;;;;;;;;;;;;;;;246.0;;295.0;125.0;;;;;;;;;;;;;;;;;;;458.0;287.0;;137.0;246.0;;;1.3;;;4508.0;4729.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;238.0;;;;;;;;0.96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;222.7;400.8;449.9;;90.0;95.0;;;
1004.105;Oats mill feed, high grade;886.0;24.0;91.0;44.0;118.0;;10.0;263.0;133.0;;0.7;3.6;;;;;;;;;;;;903.0;954.0;540.0;63.0;-26.0;0.86;7.6;;;;;3.7;1.6;2.7;;3.2;1.1;3.4;5.9;4.4;2.0;6.7;3.0;4.7;4.4;7.5;17.5;4.5;4.8;4.4;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.1;6.7;0.1;0.4;12.4;;0.7;0.1;;269.0;1.6;;;;;0.783;7.0;;;;;;;;448.0;;609.0;86.0;4.5;1.6;0.18;;;;;;;;;;;;;;9.4;0.28;;;;91.0;184.0;;;1.1;280.0;-14.0;1816.0;;;;;1672.0;;;;;;;;;;;;;;;;;;;;;;20.8;79.7;;;;;;;;;;;;;448.0;;;;;;;;0.98;;;;;;1.1;0.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.52;61.0;19.3;888.0;;62.0;;;;13.8;34.4;44.3;45.0;95.0;;;;
